id,origem,destino,valor,timestamp
ID00000;ORIG014;DEST321;596,31;2024-08-07
ID00001;ORIG002;DEST983;745,58;2021-07-13
ID00002;ORIG010;DEST815;508,97;2021-10-18
ID00003;ORIG009;DEST103;871,41;2024-05-10
ID00004;ORIG091;DEST869;290,91;2021-08-15
ID00003;ORIG014;DEST881;792,50;2020-07-12
ID00006;ORIG017;DEST270;499,37;2022-09-08
ID00007;ORIG004;DEST855;851,44;2023-09-19
ID00008;ORIG018;DEST621;858,93;2024-12-13
ID00000;ORIG007;DEST681;466,75;2021-09-13
ID00010;ORIG016;DEST539;723,54;2020-11-08
ID00011;ORIG017;DEST607;976,10;2023-10-09
ID00012;ORIG001;DEST304;71,60;2020-03-15
ID00003;ORIG079;DEST635;129,30;2020-11-05
ID00014;ORIG017;DEST146;361,20;2020-09-16
ID00015;ORIG001;DEST702;945,38;2024-10-16
ID00016;ORIG003;DEST561;415,86;2021-10-04
ID00014;ORIG017;DEST992;507,55;2022-02-26
ID00018;ORIG003;DEST631;917,58;2020-01-19
ID00019;ORIG009;DEST948;540,63;2024-07-25
ID00020;ORIG016;DEST091;312,87;2021-04-19
ID00021;ORIG011;DEST302;163,39;2023-12-17
ID00022;ORIG017;DEST693;476,90;2020-12-25
ID00023;ORIG009;DEST360;606,93;2020-05-15
ID00024;ORIG010;DEST504;516,98;2024-07-03
ID00025;ORIG009;DEST128;513,97;2020-12-23
ID00026;ORIG011;DEST711;333,48;2023-09-02
ID00027;ORIG010;DEST585;230,67;2020-05-14
ID00028;ORIG011;DEST377;605,70;2020-02-02
ID00029;ORIG005;DEST111;778,48;2022-05-04
ID00030;ORIG023;DEST369;428,26;2023-10-25
ID00031;ORIG015;DEST740;757,53;2021-09-23
ID00032;ORIG013;DEST527;838,40;2020-01-16
ID00004;ORIG011;DEST652;923,20;2020-02-05
ID00034;ORIG018;DEST439;41,09;2020-09-10
ID00035;ORIG001;DEST743;273,42;2020-05-14
ID00036;ORIG037;DEST329;472,87;2024-04-06
ID00037;ORIG000;DEST356;460,61;2020-06-28
ID00038;ORIG018;DEST708;792,22;2021-04-14
ID00039;ORIG006;DEST914;670,12;2024-08-16
ID00040;ORIG012;DEST119;109,26;2020-01-18
ID00041;ORIG097;DEST750;295,01;2023-01-08
ID00042;ORIG016;DEST563;340,06;2023-10-13
ID00043;ORIG001;DEST862;405,58;2022-10-20
ID00044;ORIG003;DEST721;333,96;2021-04-12
ID00045;ORIG007;DEST202;412,01;2020-06-09
ID00040;ORIG076;DEST412;357,70;2023-05-04
ID00047;ORIG018;DEST599;207,60;2022-08-11
ID00048;ORIG000;DEST143;215,18;2020-07-01
ID00049;ORIG003;DEST941;14,09;2024-12-06
ID00050;ORIG002;DEST262;129,45;2024-11-06
ID00051;ORIG009;DEST669;844,68;2020-03-15
ID00052;ORIG009;DEST294;751,45;2020-09-22
ID00053;ORIG009;DEST943;19,51;2020-02-14
ID00054;ORIG018;DEST978;455,65;2024-06-09
ID00055;ORIG018;DEST829;424,97;2021-04-20
ID00056;ORIG014;DEST801;242,67;2022-10-10
ID00057;ORIG057;DEST842;430,11;2021-05-01
ID00058;ORIG001;DEST247;34,04;2022-05-28
ID00059;ORIG011;DEST433;855,22;2020-04-20
ID00060;ORIG012;DEST700;817,79;2024-05-06
ID00061;ORIG015;DEST925;56,12;2022-08-15
ID00062;ORIG003;DEST850;552,54;2021-12-09
ID00063;ORIG001;DEST769;362,61;2020-09-26
ID00053;ORIG016;DEST378;27,20;2024-09-11
ID00065;ORIG000;DEST802;408,41;2024-01-07
ID00066;ORIG000;DEST700;358,35;2024-03-13
ID00067;ORIG019;DEST041;505,52;2020-11-14
ID00068;ORIG018;DEST139;856,62;2022-09-08
ID00069;ORIG012;DEST706;310,78;2020-10-09
ID00070;ORIG000;DEST952;224,47;2023-01-02
ID00071;ORIG003;DEST017;328,98;2021-04-20
ID00072;ORIG015;DEST908;719,07;2023-04-17
ID00032;ORIG011;DEST639;691,34;2024-06-25
ID00074;ORIG001;DEST773;636,39;2021-10-03
ID00075;ORIG005;DEST416;916,83;2022-08-26
ID00076;ORIG017;DEST430;77,54;2024-03-16
ID00077;ORIG014;DEST065;706,66;2022-12-05
ID00078;ORIG005;DEST255;641,68;2020-07-20
ID00079;ORIG067;DEST536;549,30;2023-02-21
ID00080;ORIG053;DEST856;655,29;2021-04-06
ID00081;ORIG099;DEST242;827,64;2020-05-26
ID00032;ORIG003;DEST329;27,58;2024-04-07
ID00083;ORIG004;DEST178;372,64;2024-11-03
